"","playerId","name","position","team","birthDate","weight","height","nationality","shootsCatches","primaryNumber","primaryPosition"
"38",8468685,"Henrik Lundqvist","G","NYR",1982-03-02,180,"6' 1""","SWE","L",30,"G"
"39",8478048,"Igor Shesterkin","G","NYR",1995-12-30,182,"6' 2""","RUS","L",31,"G"
"40",8475128,"Ilkka Heikkinen","D","NYR",1984-11-13,205,"6' 2""","FIN","L",49,"D"
"41",8476885,"Jacob Trouba","D","NYR",1994-02-26,202,"6' 3""","USA","R",8,"D"
"42",8479991,"Jake Leschyshyn","C","NYR",1999-03-10,190,"5' 11""","USA","L",15,"C"
"43",8473536,"James Sheppard","C","NYR",1988-04-25,215,"6' 1""","CAN","L",45,"C"
"44",8470860,"Jaroslav Halak","G","NYR",1985-05-13,185,"5' 11""","SVK","L",41,"G"
"45",8469480,"Jeff Woywitka","D","NYR",1983-09-01,227,"6' 3""","CAN","L",29,"D"
"46",8470809,"Jeremy Williams","R","NYR",1984-01-26,191,"6' 0""","CAN","R",48,"R"
"47",8476918,"Jimmy Vesey","L","NYR",1993-05-26,199,"6' 3""","USA","L",26,"L"
"48",8477380,"Jonny Brodzinski","C","NYR",1993-06-19,208,"6' 1""","USA","R",76,"R"
"49",8480817,"K'Andre Miller","D","NYR",2000-01-21,210,"6' 5""","USA","L",79,"D"
"50",8481554,"Kaapo Kakko","R","NYR",2001-02-13,199,"6' 3""","FIN","L",24,"R"
"51",8470630,"Kevin Klein","D","NYR",1984-12-13,206,"6' 1""","CAN","R",8,"D"
"52",8479333,"Libor Hajek","D","NYR",1998-02-04,204,"6' 2""","CZE","L",43,"D"
"53",8477084,"Mackenzie Skapski","G","NYR",NA,NA,NA,NA,NA,NA,NA
"54",8458530,"Markus Naslund","L","NYR",1973-07-30,191,"6' 0""","SWE","L",91,"L"
"55",8462047,"Martin Biron","G","NYR",1977-08-15,186,"6' 2""","CAN","L",43,"G"
"56",8466378,"Martin St. Louis","R","NYR",1975-06-18,180,"5' 8""","CAN","L",26,"R"
"57",8473492,"Matt Beleskey","L","NYR",1988-06-07,207,"6' 0""","CAN","L",39,"L"
"58",8470820,"Matt Zaba","G","NYR",1983-07-14,190,"6' 1""","CAN","L",31,"G"
"59",8471714,"Michael Sauer","D","NYR",1987-08-07,213,"6' 3""","USA","R",38,"D"
"60",8476459,"Mika Zibanejad","C","NYR",1993-04-18,213,"6' 2""","SWE","R",93,"C"
"61",8476482,"Nicklas Jensen","R","NYR",1993-03-06,216,"6' 3""","DNK","L",39,"R"
"62",8478859,"Niko Mikkola","D","NYR",1996-04-27,185,"6' 4""","FIN","L",77,"D"
"63",8471715,"Ondrej Pavelec","G","NYR",1987-08-31,212,"6' 3""","CZE","L",31,"G"
"64",8474141,"Patrick Kane","R","NYR",1988-11-19,177,"5' 10""","USA","L",88,"R"
"65",8475180,"Peter Holland","C","NYR",1991-01-14,193,"6' 2""","CAN","L",12,"C"
"66",8476244,"Raphael Diaz","D","NYR",1986-01-09,197,"5' 11""","CHE","R",33,"D"
"67",8476303,"Rob O'Gara","D","NYR",1993-07-06,214,"6' 4""","USA","L",46,"D"
"68",8458938,"Roman Hamrlik","D","NYR",1974-04-12,206,"6' 2""","CZE","L",40,"D"
"69",8475243,"Ryan Bourque","C","NYR",NA,NA,NA,NA,NA,NA,NA
"70",8477846,"Ryan Carpenter","C","NYR",1991-01-18,200,"6' 0""","USA","R",40,"C"
"71",8479324,"Ryan Lindgren","D","NYR",1998-02-11,201,"6' 0""","USA","L",55,"D"
"72",8467988,"Ryan Malone","L","NYR",1979-12-01,224,"6' 4""","USA","L",12,"L"
"73",8476450,"Ryan Sproul","D","NYR",1993-01-13,205,"6' 4""","CAN","R",25,"D"
"74",8468224,"Sean Avery","L","NYR",1980-04-10,195,"5' 10""","CAN","L",16,"L"
"75",8470192,"Steve Eminger","D","NYR",1983-10-31,207,"6' 2""","CAN","R",44,"D"
"76",8465161,"Steve Valiquette","G","NYR",1977-08-20,210,"6' 6""","CAN","L",40,"G"
"77",8479462,"Tarmo Reunanen","D","NYR",1998-03-01,185,"6' 0""","FIN","L",51,"D"
"78",8475192,"Taylor Beck","L","NYR",1991-05-13,203,"6' 2""","CAN","R",28,"L"
"79",8479364,"Tim Gettinger","L","NYR",1998-04-14,220,"6' 6""","USA","L",25,"L"
"80",8466392,"Todd White","C","NYR",1975-05-21,198,"5' 10""","CAN","L",12,"C"
"81",8477353,"Tyler Motte","C","NYR",1995-03-10,192,"5' 10""","USA","L",64,"C"
"82",8476389,"Vincent Trocheck","C","NYR",1993-07-11,186,"5' 10""","USA","R",21,"C"
"83",8475765,"Vladimir Tarasenko","R","NYR",1991-12-13,225,"6' 0""","RUS","L",91,"R"
"84",8482157,"Will Cuylle","L","NYR",2002-02-05,211,"6' 3""","CAN","L",50,"L"
"85",8481708,"Zac Jones","D","NYR",2000-10-18,185,"5' 11""","USA","L",6,"D"
